id,accessory_code,name,alt_name,category_id,type,color,pack_quantity,variant_notes,release_context,is_electronic_working,notes,image_url_primary,image_url_detail,created_at,updated_at
1,A0001,Helmet (with holes),,1,Helmet,green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
2,A0002,Communications Headset,,1,Helmet,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
3,A0003,TV-Radio Backpack,,1,Helmet,green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
4,A0004,Dragunov (SVD) Sniper's Rifle,,8,Weapon Rifle,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
5,A0005,"""Venom"" Laser Pistol",,6,Weapon Pistol,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
6,A0006,AK-47 Assault Rifle,,8,Weapon Rifle,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
7,A0007,Visor,,2,Helmet Accessory,clear,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
8,A0008,Power Pack Backpack,,3,Backpack,dark green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
9,A0009,XMLR-1A Laser Rifle,,8,Weapon Rifle,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
10,A0010,Helmet (with holes),,1,Helmet,dark green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
11,A0011,Combat Pack Backpack,,3,Backpack,dark green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
12,A0012,M-16 Rifle,,8,Weapon Rifle,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
13,A0013,M-16 Heavy Machine Gun,,10,Weapon Machine Gun,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
14,A0014,Bipod,,22,Weapon Accessory,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
15,A0015,XK-1 Power Crossbow,,19,Weapon Bow/ Crossbow,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
16,A0016,Ammo Pack Backpack,,3,Backpack,dark green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
17,A0017,M-1 81mm Medium Mortar (closed handle),,13,Weapon Bazooka/ Launcher,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
18,A0018,M-1 81mm Medium Mortar (thin open handle),,13,Weapon Bazooka/ Launcher,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
19,A0019,M-1 81mm Medium Mortar (thick open handle),,13,Weapon Bazooka/ Launcher,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
20,A0020,Mortar Bipod Stand,,22,Weapon Accessory,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
21,A0021,Uzi Submachine Gun (thin muzzle),,9,Weapon Submachine Gun,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
22,A0022,Explosives pack,,37,Tactical Gear,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
23,A0023,"M-32 ""Pulverizer"" Submachine Gun",,9,Weapon Submachine Gun,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
24,A0024,Helmet (with holes),,1,Helmet,light green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
25,A0025,Binocular Headset,,2,Helmet Accessory,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
26,A0026,Ammo Pack Backpack,,3,Backpack,light green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
27,A0027,Bazooka (double handle),,13,Weapon Bazooka/ Launcher,light green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
28,A0028,Bazooka (single thin handle),,13,Weapon Bazooka/ Launcher,light green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
29,A0029,Bazooka (single thick handle),,13,Weapon Bazooka/ Launcher,dark green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
30,A0030,Flight Helmet,,1,Helmet,white/clear,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
31,A0031,Helmet (with goggles molded),,1,Helmet,green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
32,A0032,Helicopter Assault Trooper Backpack,,3,Backpack,tan,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
33,A0033,XM-16 Attack Rifle,,8,Weapon Rifle,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
34,A0034,Armed Attache Case Backpack,,3,Backpack,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
35,A0035,High-Density Laser Gun,,6,Weapon Pistol,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
36,A0036,Helmet (with flares molded),,1,Helmet,tan,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
37,A0037,Rescue Flare Launcher,,33,Medical Equipment,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
38,A0038,Stretcher,,33,Medical Equipment,dark gray,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
39,A0039,Helmet (no holes),,1,Helmet,green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
40,A0040,Helmet (with holes),,1,Helmet,bright green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
41,A0041,"M-32 ""Pulverizer"" Submachine Gun",,9,Weapon Submachine Gun,green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
42,A0042,"M-32 ""Pulverizer"" Submachine Gun",,9,Weapon Submachine Gun,bright green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
43,A0043,Binocular,,37,Tactical Gear,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
44,A0044,American Flag (decal),,39,Decal,--,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
45,A0045,JUMP Jet Pack,,3,Backpack,green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
46,A0046,Jet pack Laser Rifle,,8,Weapon Rifle,green,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
47,A0047,Cord,,41,Cord/ Pull/ Strap,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
48,A0048,Helmet (with holes),,1,Helmet,tan,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
49,A0049,Jungle Pack Backpack,,3,Backpack,teal,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
50,A0050,XM-76 Grenade Launcher,,13,Weapon Bazooka/ Launcher,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
51,A0051,Missile Backpack,,3,Backpack,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
52,A0052,Rocket Launcher,,6,Weapon Pistol,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
53,A0053,Polar Pack,,3,Backpack,white,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
54,A0054,XMLR-3A Laser Rifle,,8,Weapon Rifle,black,1,,retail,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12
