category_id,name,description
1,Helmet,
2,Helmet accessory,
3,Backpack,
4,Backpack with battery,
5,Backpack accessory,
6,Weapon — pistol,
7,Weapon — shotgun,
8,Weapon — rifle,
9,Weapon — submachine gun,
10,Weapon — machine gun,
11,Weapon — flamethrower,
12,Weapon — blaster / laser,
13,Weapon — bazooka / launcher,
14,Weapon — knife,
15,Weapon — blade,
16,Weapon — machete,
17,Weapon — sword,
18,Weapon — melee,
19,Weapon — bow / crossbow,
20,Weapon — harpoon / javelin / spear,
21,Weapon — specialized,
22,Weapon accessory,
23,Missile,
24,Spring-loaded launcher,
25,Spring-loaded missile,
26,Animal,
27,Animal accessory,
28,Ammo / Belt,
29,Armor / Shield,
30,Comms / Radio / Tech,
31,Explosive ordnance disposal (EOD),
32,Grappling hook,
33,Medical equipment,
34,Ski / Snow equipment,
35,Specialized equipment,
36,Swim / Scuba equipment,
37,Tactical gear,
38,Parachute case / Parachute,
39,Decal,
40,Soft goods,
41,Cord / Pull / Strap,
42,Launch system,
43,Playset feature,
44,Transportation,
45,Standard hose,
46,Specialized hose,
47,Water hose,
48,Putty,
49,Accessory,
50,Accessory tree,
51,Stand / Base,
52,Cassette / VHS,
60,File card — carded release,
61,File card — mail-away,
62,File card — variant,
