figure_id,accessory_id,group_id,release_context,is_original,is_shared,quantity_required,notes,match_key,variant_id
1,1,,retail,1,0,1,,,
1,2,,retail,1,0,1,,,
1,3,,retail,1,0,1,,,
2,1,,retail,1,0,1,,,
3,4,,retail,1,0,1,,,
3,13,,retailer_exclusive,1,0,1,,,
3,14,,retailer_exclusive,1,0,1,,,
3,28,,retailer_exclusive,1,0,1,,,
3,29,,retailer_exclusive,1,0,1,,,
4,5,,retail,1,0,1,,,
5,6,,retail,1,0,1,,,
5,18,,retail,1,0,1,,,
5,20,,retail,1,0,1,,,
6,1,,retail,1,0,1,,,
6,7,,retail,1,0,1,,,
6,8,,retail,1,0,1,,,
6,9,,retail,1,0,1,,,
7,10,,retail,1,0,1,,,
7,7,,retail,1,0,1,,,
8,1,,retail,1,0,1,,,
8,11,,retail,1,0,1,,,
8,12,,retail,1,0,1,,,
9,1,,retail,1,0,1,,,
9,7,,retail,1,0,1,,,
10,10,,retail,1,0,1,,,
10,13,,retail,1,0,1,,,
10,14,,retail,1,0,1,,,
11,15,,retail,1,0,1,,,
12,1,,retail,1,0,1,,,
12,7,,retail,1,0,1,,,
12,16,,retail,1,0,1,,,
12,17,,retail,1,0,1,,,
12,18,,retail,1,0,1,,,
12,19,,retail,1,0,1,,,
12,20,,retail,1,0,1,,,
13,21,,retail,1,0,1,,,
13,22,,retail,1,0,1,,,
14,23,,retail,1,0,1,,,
15,25,,retail,1,0,1,,,
15,21,,retail,1,0,1,,,
15,26,,retail,1,0,1,,,
16,25,,retail,1,0,1,,,
16,27,,retail,1,0,1,,,
16,28,,retail,1,0,1,,,
16,29,,retail,1,0,1,,,
17,30,,retail,1,0,1,,,
18,31,,retail,1,0,1,,,
18,32,,retail,1,0,1,,,
18,33,,retail,1,0,1,,,
19,1,,retail,1,0,1,,,
19,2,,retail,1,0,1,,,
19,3,,retail,1,0,1,,,
20,1,,retail,1,0,1,,,
21,4,,retail,1,0,1,,,
22,5,,retail,1,0,1,,,
23,6,,retail,1,0,1,,,
25,34,,retail,1,0,1,,,
25,35,,retail,1,0,1,,,
26,36,,retail,1,0,1,,,
26,37,,retail,1,0,1,,,
26,38,,retail,1,0,1,,,
27,39,13,retail,1,0,1,,A,
27,24,13,retail,1,0,1,,A,
27,40,13,retail,1,0,1,,B,
27,32,,retail,1,0,1,,,
27,41,14,retail,1,0,1,,A,
27,42,14,retail,1,0,1,,B,
27,43,,retail,1,0,1,,,
27,44,,bonus,1,0,1,,,
28,1,,retail,1,0,1,,,
28,7,,retail,1,0,1,,,
28,8,,retail,1,0,1,,,
28,9,,retail,1,0,1,,,
29,10,,retail,1,0,1,,,
29,7,,retail,1,0,1,,,
30,10,,retail,1,0,1,,,
30,7,,retail,1,0,1,,,
30,45,,retail,1,0,1,,,
30,46,,retail,1,0,1,,,
30,47,,retail,1,0,1,,,
31,1,,retail,1,0,1,,,
31,11,,retail,1,0,1,,,
31,12,,retail,1,0,1,,,
32,48,,retail,1,0,1,,,
33,49,,retail,1,0,1,,,
33,50,,retail,1,0,1,,,
35,1,,retail,1,0,1,,,
35,7,,retail,1,0,1,,,
36,51,,retail,1,0,1,,,
36,52,,retail,1,0,1,,,
37,10,,retail,1,0,1,,,
37,13,,retail,1,0,1,,,
37,14,,retail,1,0,1,,,
38,15,,retail,1,0,1,,,
39,1,,retail,1,0,1,,,
39,7,,retail,1,0,1,,,
39,16,,retail,1,0,1,,,
39,17,,retail,1,0,1,,,
39,18,,retail,1,0,1,,,
39,19,,retail,1,0,1,,,
39,20,,retail,1,0,1,,,
40,21,,retail,1,0,1,,,
40,22,,retail,1,0,1,,,
41,53,,retail,1,0,1,,,
41,54,,retail,1,0,1,,,
41,55,,retail,1,0,2,,,
41,56,,retail,1,0,2,,,
42,23,,retail,1,0,1,,,
43,24,,retail,1,0,1,,,
43,25,,retail,1,0,1,,,
43,21,,retail,1,0,1,,,
44,57,,retail,1,0,1,,,
44,58,,retail,1,0,1,,,
44,59,,retail,1,0,2,,,
45,60,,retail,1,0,1,,,
45,61,,retail,1,0,1,,,
45,62,,retail,1,0,3,,,
48,25,,retail,1,0,1,,,
48,27,,retail,1,0,1,,,
48,28,,retail,1,0,1,,,
48,29,,retail,1,0,1,,,
49,63,,retail,1,0,1,,,
49,64,,retail,1,0,1,,,
50,65,1,retail,1,0,1,,,
50,66,1,retail,1,0,1,,,
50,67,,retail,1,0,1,,,
50,68,,retail,1,0,1,,,
50,69,2,retail,1,0,1,,,
50,70,2,retail,1,0,1,,,
51,71,,retail,1,0,1,,,
52,5,,retail,1,0,1,,,
55,72,,retail,1,0,1,,,
55,73,,retail,1,0,1,,,
55,74,,retail,1,0,1,,,
55,75,,retail,1,0,1,,,
55,1796,,retail,1,0,1,,,
56,76,,retail,1,0,1,,,
56,77,,retail,1,0,1,,,
56,78,11,retail,1,0,1,,A,
56,79,11,retail,1,0,1,,B,
56,80,12,retail,1,0,1,,A,
56,81,12,retail,1,0,1,,B,
57,82,3,retail,1,0,1,,,
57,83,3,retail,1,0,1,,,
