id,figure_id,code_name,character_key,alt_name,version,variant,variant_lookup,display_name,full_name,specialty,faction_id,sub_group_id,series_id,year_promoted,year_released,year_discontinued,release_context,is_mail_away,mail_in_notes,is_vehicle_driver,vehicle,notes,image_url_primary,image_url_detail,created_at,updated_at,master_target,master_notes
1,F001,Breaker,,,1,,,Breaker v1 A,"Kibbey, Alvin R.",Infantry,1,,1,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-12 21:47:24,1,
2,F004,Clutch,,,1,,,Clutch v1 A,"Steinberg, Lance J.",Transportation,1,,1,,,,retail,0,,1,VAMP,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
3,F007,Cobra,,Cobra Soldier or Cobra Trooper,1,,,Cobra v1 A,,Infantry,2,,1,,,,retail,0,,1,Missile Command Headquarters,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
4,F009,Cobra Commander,,,1,,,Cobra Commander v1 A,Classified,Intelligence,2,,1,,,,mail_in,1,"Mail order, Sears",1,Missile Command Headquarters,"Mail order, Sears",,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
5,F011,Cobra Officer,,,1,,,Cobra Officer v1 A,,Infantry,2,,1,,,,retail,0,,1,Missile Command Headquarters,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
6,F013,Flash,,,1,,,Flash v1 A,"Gambello, Anthony S.",Infantry,1,,1,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
7,F016,Grand Slam,,,1,,,Grand Slam v1 A,"Barney, James J.",Artillery,1,,1,,,,retail,0,,1,HAL,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
8,F019,Grunt,,,1,,,Grunt v1 A,"Graves, Robert W.",Infantry,1,,1,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
9,F022,Hawk,,,1,,,Hawk v1 A,"Abernathy, Clayton M.",Artillery,1,,1,,,,retail,0,,1,MMS,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
10,F025,Rock 'N Roll,,Rock & Roll,1,,,Rock 'N Roll v1 A,"McConnel, Craig S.",Infantry,1,,1,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
11,F028,Scarlett,,,1,,,Scarlett v1 A,"O'Hara, Shana M.",Intelligence,1,,1,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
12,F030,Short-Fuze,,Short-Fuse or Shortfuse,1,,,Short-Fuze v1 A,"Freistadt, Eric W.",Artillery,1,,1,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
13,F033,Snake Eyes,,Snake-Eyes,1,,,Snake Eyes v1 A,Classified,Infantry,1,,1,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
14,F036,Stalker,,,1,,,Stalker v1 A,"Wilkinson, Lonzo R.",Infantry,1,,1,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
15,F039,Steeler,,,1,,,Steeler v1 A,"Pulaski, Ralph W.",Armor,1,,1,,,,retail,0,,1,MOBAT,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
16,F041,Zap,,,1,,,Zap v1 A,"Melendez, Rafael J.",Engineer,1,,1,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
17,F044,Ace,ACE_1,,1,,,Ace v1 ,"Armbruster, Brad J.","Fixed Wing Pilot, Single and Multiple Engine",1,,3,,,,retail,0,,1,Skystriker (XP-14F),,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
18,F045,Airborne,AIRBORNE_1,,1,,,Airborne v1 A,"Talltree, Franklin E.",Airborne Infantryman,1,,3,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
19,F047,Breaker,,,1.5,,Swivel-Arm,Breaker v1.5 ,"Kibbey, Alvin R.",Infantry,1,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-12 21:47:24,1,
20,F048,Clutch,,,1.5,,Swivel-Arm,Clutch v1.5 ,"Steinberg, Lance J.",Transportation,1,,2,,,,retail,0,,1,VAMP,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
21,F049,Cobra,,Cobra Soldier or Cobra Trooper,1.5,,"Swivel-Arm, Black eyes",Cobra v1.5 ,,Infantry,2,,2,,,,retail,0,,1,Missile Command Headquarters,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
22,F050,Cobra Commander,,,1.5,,Swivel-Arm,Cobra Commander v1.5 ,Classified,Intelligence,2,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
23,F051,Cobra Officer,,,1.5,,"Swivel-Arm, Black eyes",Cobra Officer v1.5 ,,Infantry,2,,2,,,,retail,0,,1,Missile Command Headquarters,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
24,F052,Cover Girl,,,1,,,Cover Girl v1 A,"Krieger, Courtney A.",Armor,1,,3,,,,retail,0,,1,Wolverine,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
25,F054,Destro,,,1,,,Destro v1 A,,Weapons Manufacturer,2,,3,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-19 17:25:22,1,variants A/B are in collection. all accessories.
26,F056,Doc,,,1,,,Doc v1 ,"Greer, Carl W.",Medicial Doctor,1,,3,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
27,F057,Duke,,,1,,,Duke v1 A,"Hauser, Conrad S.",Airborne Infantryman,1,,3,,,,mail_in,1,Mail order,0,,Mail order,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
28,F062,Flash,,,1.5,,Swivel-Arm,Flash v1.5 ,"Gambello, Anthony S.",Infantry,1,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
29,F063,Grand Slam,,,1.5,,Swivel-Arm,Grand Slam v1.5 ,"Barney, James J.",Artillery,1,,2,,,,retail,0,,1,HAL,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
30,F064,Grand Slam,,Silver Pads Grand Slam,2,,,Grand Slam v2 ,"Barney, James J.",Artillery,1,,3,,,,retail,0,,1,JUMP,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
31,F065,Grunt,,,1.5,,"Swivel-Arm, green uniform",Grunt v1.5 ,"Graves, Robert W.",Infantry,1,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
32,F066,Grunt,,Tan Grunt,2,,Tan uniform,Grunt v2 ,"Graves, Robert W.",Infantry,1,,3,,,,retail,0,,1,Falcon,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
33,F067,Gung-Ho,,,1,,,Gung-Ho v1 ,"La Fitte, Etienne R.",Recando,1,,3,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
34,F068,H.I.S.S. Driver,,Cobra H.I.S.S. Driver,1,,,H.I.S.S. Driver v1 ,,H.I.S.S. Driver,2,,3,,,,retail,0,,1,H.I.S.S.,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
35,F069,Hawk,,,1.5,,Swivel-Arm,Hawk v1.5 ,"Abernathy, Clayton M.",Artillery,1,,2,,,,retail,0,,1,MMS,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
36,F070,Major Bludd,,,1,,,Major Bludd v1 ,"Bludd, Sebastian",Terrorist,2,,3,,,,mail_in,1,Mail order,0,,Mail order,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
37,F071,Rock 'N Roll,,,1.5,,Swivel-Arm,Rock 'N Roll v1.5 ,"McConnel, Craig S.",Infantry,1,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
38,F072,Scarlett,,,1.5,,Swivel-Arm,Scarlett v1.5 ,"O'Hara, Shana M.",Intelligence,1,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
39,F073,Short-Fuze,,Short-Fuse or Shortfuse,1.5,,Swivel-Arm,Short-Fuze v1.5 ,"Freistadt, Eric W.",Artillery,1,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
40,F074,Snake Eyes,,Snake-Eyes,1.5,,Swivel-Arm,Snake Eyes v1.5 ,Classified,Infantry,1,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
41,F075,Snow Job,,,1,,,Snow Job v1 ,"Moore, Harlan W.",Arctic Ski Patrol,1,,3,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
42,F076,Stalker,,,1.5,,,Stalker v1.5 A,"Wilkinson, Lonzo R.",Infantry,1,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
43,F078,Steeler,,,1.5,,,Steeler v1.5 ,"Pulaski, Ralph W.",Armor,1,,2,,,,retail,0,,1,MOBAT,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
44,F079,Torpedo,,,1,,,Torpedo v1 ,"Leialoha, Edward W.",Navy SEAL,1,,3,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
45,F080,Tripwire,,,1,,,Tripwire v1 A,"Skoog, Tormod S.",Explosive Ordnance Disposal,1,,3,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-19 23:46:27,1,still need A variant - thin chevron strips.
46,F082,Viper Pilot,,Cobra Viper Pilot,1,,,Viper Pilot v1 ,,Infantry,2,,3,,,,retail,0,,1,Viper,,,,2026-07-10 21:49:12,2026-07-19 17:24:05,1,"mark for upgrade, worn logo"
47,F083,Wild Bill,,,1,,,Wild Bill v1 ,"Hardy, William S.",Helicopter Pilot,1,,3,,,,retail,0,,1,Dragonfly (XH-1),,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
48,F084,Zap,,,1.5,,Swivel-Arm,Zap v1.5 ,"Melendez, Rafael J.",Engineer,1,,2,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
49,F085,Baroness,,,1,,,Baroness v1 ,Classified,Intelligence,2,,4,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
50,F086,Blowtorch,,,1,,,Blowtorch v1 A,"Hanrahan, Timothy P.",Infantry Special Weapons,1,,4,,,,retail,0,,0,,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
51,F089,Clutch,,Tan Clutch,2,,,Clutch v2 ,"Steinberg, Lance J.",Transportation,1,,4,,,,retail,0,,1,VAMP Mark II,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
52,F090,Cobra Commander,,Hooded Cobra Commander,2,,,Cobra Commander v2 ,Classified,Intelligence,2,,4,,,,mail_in,1,Mail order,0,,Mail order,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
53,F091,Copperhead,,,1,,,Copperhead v1 A,Classified,Air-Driver Swamp Vehicle Operator,2,,4,,,,retail,0,,1,Water Moccasin,,,,2026-07-10 21:49:12,2026-07-10 21:49:12,1,
