year_released,code_name,figure_id,figure_id,accessory_id,accessory_id,group_id,release_context,is_original,is_shared,quantity_required,quantity_owned,condition_id,notes
1982,Breaker,F001,1,A0001,1,,,,,,,,
,,F001,1,A0002,2,,,,,,,,
,,F001,1,A0003,3,,,,,,,,
1982,Breaker,F002,2,A0001,1,,,,,,,,
,,F002,2,A0002,2,,,,,,,,
,,F002,2,A0003,3,,,,,,,,
1982,Breaker,F003,3,A0001,1,,,,,,,,
,,F003,3,A0002,2,,,,,,,,
,,F003,3,A0003,3,,,,,,,,
1982,Clutch,F004,4,A0001,1,,,,,,,,
1982,Clutch,F005,5,A0001,1,,,,,,,,
1982,Clutch,F006,6,A0001,1,,,,,,,,
1982,Cobra,F007,7,A0004,4,,,,,,,,
,,F007,7,A0013,13,,,,,,,,
,,F007,7,A0014,14,,,,,,,,
,,F007,7,A0028,28,,,,,,,,
,,F007,7,A0029,29,,,,,,,,
1982,Cobra,F008,8,A0004,4,,,,,,,,
,,F008,8,A0013,13,,,,,,,,
,,F008,8,A0014,14,,,,,,,,
,,F008,8,A0028,28,,,,,,,,
,,F008,8,A0029,29,,,,,,,,
1982,Cobra Commander,F009,9,A0005,5,,,,,,,,
1982,Cobra Commander,F010,10,A0005,5,,,,,,,,
1982,Cobra Officer,F011,11,A0006,6,,,,,,,,
,,F011,11,A0018,18,,,,,,,,
,,F011,11,A0020,20,,,,,,,,
1982,Cobra Officer,F012,12,A0006,6,,,,,,,,
,,F012,12,A0018,18,,,,,,,,
,,F012,12,A0020,20,,,,,,,,
1982,Flash,F013,13,A0001,1,,,,,,,,
,,F013,13,A0007,7,,,,,,,,
,,F013,13,A0008,8,,,,,,,,
,,F013,13,A0009,9,,,,,,,,
1982,Flash,F014,14,A0001,1,,,,,,,,
,,F014,14,A0007,7,,,,,,,,
,,F014,14,A0008,8,,,,,,,,
,,F014,14,A0009,9,,,,,,,,
1982,Flash,F015,15,A0001,1,,,,,,,,
,,F015,15,A0007,7,,,,,,,,
,,F015,15,A0008,8,,,,,,,,
,,F015,15,A0009,9,,,,,,,,
1982,Grand Slam,F016,16,A0010,10,,,,,,,,
,,F016,16,A0007,7,,,,,,,,
1982,Grand Slam,F017,17,A0010,10,,,,,,,,
,,F017,17,A0007,7,,,,,,,,
1982,Grand Slam,F018,18,A0010,10,,,,,,,,
,,F018,18,A0007,7,,,,,,,,
1982,Grunt,F019,19,A0001,1,,,,,,,,
,,F019,19,A0011,11,,,,,,,,
,,F019,19,A0012,12,,,,,,,,
1982,Grunt,F020,20,A0001,1,,,,,,,,
,,F020,20,A0011,11,,,,,,,,
,,F020,20,A0012,12,,,,,,,,
1982,Grunt,F021,21,A0001,1,,,,,,,,
,,F021,21,A0011,11,,,,,,,,
,,F021,21,A0012,12,,,,,,,,
1982,Hawk,F022,22,A0001,1,,,,,,,,
,,F022,22,A0007,7,,,,,,,,
1982,Hawk,F023,23,A0001,1,,,,,,,,
,,F023,23,A0007,7,,,,,,,,
1982,Hawk,F024,24,A0001,1,,,,,,,,
,,F024,24,A0007,7,,,,,,,,
1982,Rock 'N Roll,F025,25,A0010,10,,,,,,,,
,,F025,25,A0013,13,,,,,,,,
,,F025,25,A0014,14,,,,,,,,
1982,Rock 'N Roll,F026,26,A0010,10,,,,,,,,
,,F026,26,A0013,13,,,,,,,,
,,F026,26,A0014,14,,,,,,,,
1982,Rock 'N Roll,F027,27,A0010,10,,,,,,,,
,,F027,27,A0013,13,,,,,,,,
